Category,City,Country,Customer.ID,Customer.Name,Discount,Market,记录数,Order.Date,Order.ID,Order.Priority,Product.ID,Product.Name,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
Furniture,Seattle,United States,PK-160898,Pete Kim,0.0,US,1,2011-01-01 00:00:00.000,CA-2011-147115,High,FUR-CH-10037233,"Fellowes Chair, Deluxe",12.565,4,West,23614,37,Consumer,2011-01-08 00:00:00.000,Standard Class,2.395,Washington,Chairs,2011,North America,52
Furniture,London,United Kingdom,SP-175573,Susan Patel,0.6,EU,1,2011-01-01 00:00:00.000,EU-2011-154156,Medium,FUR-TA-10022064,"Samsung Table, Standard",-8.921,5,North,32754,44,Consumer,2011-01-07 00:00:00.000,Standard Class,7.833,England,Tables,2011,EU,52
Furniture,São Paulo,Brazil,LE-171783,Lycoris Engle,0.0,LATAM,1,2011-01-01 00:00:00.000,LA-2011-154183,Critical,FUR-FU-10031717,"Xerox Furnishing, Deluxe",19.392,2,South America,19506,169,Corporate,2011-01-04 00:00:00.000,Second Class,30.29,São Paulo,Furnishings,2011,LATAM,52
Furniture,Rome,Italy,KP-146678,Ken Patel,0.0,EU,1,2011-01-01 00:00:00.000,EU-2011-101153,Medium,FUR-TA-10034475,"Eldon Table, Premium",6.537,9,South,13015,19,Corporate,2011-01-06 00:00:00.000,Standard Class,3.367,Lazio,Tables,2011,EU,52
Furniture,São Paulo,Brazil,MP-107361,Maria Price,0.0,LATAM,1,2011-01-02 00:00:00.000,LA-2011-141679,High,FUR-TA-10005516,"Samsung Table, Standard",5.127,4,South America,38754,18,Consumer,2011-01-07 00:00:00.000,Standard Class,3.121,São Paulo,Tables,2011,LATAM,52
Furniture,Tokyo,Japan,EB-206843,Emily Bern,0.0,APAC,1,2011-01-02 00:00:00.000,AP-2011-144966,Medium,FUR-FU-10039991,"Apple Furnishing, Premium",80.325,5,North Asia,30727,572,Consumer,2011-01-04 00:00:00.000,First Class,59.119,Tokyo,Furnishings,2011,APAC,52
Furniture,New York City,United States,GC-173202,Grace Carroll,0.0,US,1,2011-01-02 00:00:00.000,CA-2011-149322,Medium,FUR-CH-10017927,"Eldon Chair, Premium",2.772,3,East,12833,13,Corporate,2011-01-06 00:00:00.000,Standard Class,3.172,New York,Chairs,2011,North America,52
Furniture,São Paulo,Brazil,MP-193444,Mark Price,0.2,LATAM,1,2011-01-02 00:00:00.000,LA-2011-141495,Medium,FUR-BO-10017927,"Eldon Bookcase, Premium",35.676,5,South America,613,229,Home Office,2011-01-07 00:00:00.000,Standard Class,14.807,São Paulo,Bookcases,2011,LATAM,52
Furniture,São Paulo,Brazil,RP-197498,Rick Price,0.2,LATAM,1,2011-01-02 00:00:00.000,LA-2011-135197,High,FUR-FU-10027580,"Bush Furnishing, Standard",124.986,3,South America,31094,431,Consumer,2011-01-04 00:00:00.000,Second Class,65.577,São Paulo,Furnishings,2011,LATAM,52
Furniture,São Paulo,Brazil,LM-141612,Lycoris Marley,0.4,LATAM,1,2011-01-03 00:00:00.000,LA-2011-147318,Medium,FUR-TA-10020685,"Fellowes Table, Deluxe",-7.584,4,South America,17891,71,Consumer,2011-01-05 00:00:00.000,Second Class,9.501,São Paulo,Tables,2011,LATAM,1
Furniture,Buenos Aires,Argentina,MN-193649,Maria Nguyen,0.0,LATAM,1,2011-01-03 00:00:00.000,LA-2011-117127,Medium,FUR-FU-10008274,"Cisco Furnishing, Economy",203.35,5,South America,5756,594,Consumer,2011-01-08 00:00:00.000,Standard Class,71.085,Buenos Aires,Furnishings,2011,LATAM,1
Furniture,London,United Kingdom,DB-115878,Dean Brown,0.0,EU,1,2011-01-03 00:00:00.000,EU-2011-118749,Medium,FUR-FU-10005516,"Samsung Furnishing, Standard",12.609,1,North,32543,59,Corporate,2011-01-08 00:00:00.000,Standard Class,5.184,England,Furnishings,2011,EU,1
Furniture,New York City,United States,VS-182012,Victor Saunders,0.0,US,1,2011-01-03 00:00:00.000,CA-2011-107229,High,FUR-CH-10012411,"Stockwell Chair, Premium",12.061,3,East,30092,41,Home Office,2011-01-04 00:00:00.000,First Class,2.318,New York,Chairs,2011,North America,1
Furniture,Seattle,United States,TH-219277,Tamara Hopkins,0.0,US,1,2011-01-03 00:00:00.000,CA-2011-127040,Critical,FUR-CH-10038612,"Samsung Chair, Standard",39.061,1,West,4692,123,Consumer,2011-01-05 00:00:00.000,First Class,14.856,Washington,Chairs,2011,North America,1
Furniture,São Paulo,Brazil,NJ-124767,Nick Jones,0.2,LATAM,1,2011-01-03 00:00:00.000,LA-2011-121507,Medium,FUR-BO-10035854,"Acco Bookcase, Economy",65.463,1,South America,50837,4023,Consumer,2011-01-07 00:00:00.000,Second Class,109.048,São Paulo,Bookcases,2011,LATAM,1
